County Name,Regional Name
Anderson,North East Texas
Andrews,Southern High Plains
Angelina,South East Texas
Aransas,Coastal Bend
Archer,Cross Timbers
Armstrong,Northern High Plains
Atascosa,South Texas
Austin,South Central
Bailey,Southern High Plains
Bandera,Edwards Plateau
Bastrop,South Central
Baylor,Southern Low Plains
Bee,South Central
Bell,Blacklands
Bexar,South Central
Blanco,Edwards Plateau
Borden,Northern Low Plains
Bosque,Blacklands
Bowie,North East Texas
Brazoria,Upper Coast
Brazos,South East Texas
Brewster,Trans-Pescos
Briscoe,Northern High Plains
Brooks,South Texas
Brown,Cross Timbers
Burleson,South Central
Burnet,Edwards Plateau
Caldwell,South Central
Calhoun,Upper Coast
Callahan,Cross Timbers
Cameron,Lower Valley
Camp,North East Texas
Carson,Northern High Plains
Cass,North East Texas
Castro,Northern High Plains
Chambers,Upper Coast
Cherokee,North East Texas
Childress,Northern Low Plains
Clay,Cross Timbers
Cochran,Southern High Plains
Coke,Edwards Plateau
Coleman,Southern Low Plains
Collin,Blacklands
Collingsworth,Northern Low Plains
Colorado,South Central
Comal,South Central
Comanche,Cross Timbers
Concho,Edwards Plateau
Cooke,Blacklands
Coryell,Blacklands
Cottle,Northern Low Plains
Crane,Trans-Pescos
Crockett,Edwards Plateau
Crosby,Southern High Plains
Culberson,Trans-Pescos
Dallam,Northern High Plains
Dallas,Blacklands
Dawson,Southern High Plains
De Witt,South Central
Deaf Smith,Northern High Plains
Delta,Blacklands
Denton,Blacklands
Dickens,Northern Low Plains
Dimmit,South Texas
Donley,Northern Low Plains
Duval,South Texas
Eastland,Cross Timbers
Ector,Trans-Pescos
Edwards,Edwards Plateau
El Paso,Trans-Pescos
Ellis,Blacklands
Erath,Cross Timbers
Falls,Blacklands
Fannin,Blacklands
Fayette,South Central
Fisher,Southern Low Plains
Floyd,Northern High Plains
Foard,Northern Low Plains
Fort Bend,Upper Coast
Franklin,North East Texas
Freestone,South East Texas
Frio,South Texas
Gaines,Southern High Plains
Galveston,Upper Coast
Garza,Northern Low Plains
Gillespie,Edwards Plateau
Glasscock,Southern High Plains
Goliad,South Central
Gonzales,South Central
Gray,Northern High Plains
Grayson,Blacklands
Gregg,North East Texas
Grimes,South East Texas
Guadalupe,South Central
Hale,Northern High Plains
Hall,Northern Low Plains
Hamilton,Blacklands
Hansford,Northern High Plains
Hardeman,Northern Low Plains
Hardin,South East Texas
Harris,Upper Coast
Harrison,North East Texas
Hartley,Northern High Plains
Haskell,Southern Low Plains
Hays,South Central
Hemphill,Northern High Plains
Henderson,North East Texas
Hidalgo,Lower Valley
Hill,Blacklands
Hockley,Southern High Plains
Hood,Cross Timbers
Hopkins,North East Texas
Houston,North East Texas
Howard,Southern High Plains
Hudspeth,Trans-Pescos
Hunt,Blacklands
Hutchinson,Northern High Plains
Irion,Edwards Plateau
Jack,Cross Timbers
Jackson,Upper Coast
Jasper,South East Texas
Jeff Davis,Trans-Pescos
Jefferson,Upper Coast
Jim Hogg,South Texas
Jim Wells,South Texas
Johnson,Blacklands
Jones,Southern Low Plains
Karnes,South Central
Kaufman,Blacklands
Kendall,Edwards Plateau
Kenedy,South Texas
Kent,Northern Low Plains
Kerr,Edwards Plateau
Kimble,Edwards Plateau
King,Northern Low Plains
Kinney,Edwards Plateau
Kleberg,Coastal Bend
Knox,Southern Low Plains
La Salle,South Texas
Lamar,Blacklands
Lamb,Southern High Plains
Lampasas,Edwards Plateau
Lavaca,South Central
Lee,South Central
Leon,South East Texas
Liberty,Upper Coast
Limestone,Blacklands
Lipscomb,Northern High Plains
Live Oak,South Texas
Llano,Edwards Plateau
Loving,Trans-Pescos
Lubbock,Southern High Plains
Lynn,Southern High Plains
Madison,South East Texas
Marion,North East Texas
Martin,Southern High Plains
Mason,Edwards Plateau
Matagorda,Upper Coast
Maverick,South Texas
McCulloch,Edwards Plateau
McLennan,Blacklands
McMullen,South Texas
Medina,South Central
Menard,Edwards Plateau
Midland,Southern High Plains
Milam,Blacklands
Mills,Cross Timbers
Mitchell,Southern Low Plains
Montague,Cross Timbers
Montgomery,South East Texas
Moore,Northern High Plains
Morris,North East Texas
Motley,Northern Low Plains
Nacogdoches,North East Texas
Navarro,Blacklands
Newton,South East Texas
Nolan,Southern Low Plains
Nueces,Coastal Bend
Ochiltree,Northern High Plains
Oldham,Northern High Plains
Orange,Upper Coast
Palo Pinto,Cross Timbers
Panola,North East Texas
Parker,Cross Timbers
Parmer,Northern High Plains
Pecos,Trans-Pescos
Polk,South East Texas
Potter,Northern High Plains
Presidio,Trans-Pescos
Rains,North East Texas
Randall,Northern High Plains
Reagan,Edwards Plateau
Real,Edwards Plateau
Red River,North East Texas
Reeves,Trans-Pescos
Refugio,Coastal Bend
Roberts,Northern High Plains
Robertson,South East Texas
Rockwall,Blacklands
Runnels,Southern Low Plains
Rusk,North East Texas
Sabine,South East Texas
San Augustine,South East Texas
San Jacinto,South East Texas
San Patricio,Coastal Bend
San Saba,Edwards Plateau
Schleicher,Edwards Plateau
Scurry,Southern Low Plains
Shackelford,Cross Timbers
Shelby,North East Texas
Sherman,Northern High Plains
Smith,North East Texas
Somervell,Cross Timbers
Starr,Lower Valley
Stephens,Cross Timbers
Sterling,Edwards Plateau
Stonewall,Southern Low Plains
Sutton,Edwards Plateau
Swisher,Northern High Plains
Tarrant,Blacklands
Taylor,Southern Low Plains
Terrell,Trans-Pescos
Terry,Southern High Plains
Throckmorton,Cross Timbers
Titus,North East Texas
Tom Green,Edwards Plateau
Travis,South Central
Trinity,South East Texas
Tyler,South East Texas
Upshur,North East Texas
Upton,Edwards Plateau
Uvalde,Edwards Plateau
Val Verde,Edwards Plateau
Van Zandt,North East Texas
Victoria,Upper Coast
Walker,South East Texas
Waller,South East Texas
Ward,Trans-Pescos
Washington,South Central
Webb,South Texas
Wharton,Upper Coast
Wheeler,Northern Low Plains
Wichita,Northern Low Plains
Wilbarger,Northern Low Plains
Willacy,Lower Valley
Williamson,Blacklands
Wilson,South Central
Winkler,Trans-Pescos
Wise,Cross Timbers
Wood,North East Texas
Yoakum,Southern High Plains
Young,Cross Timbers
Zapata,South Texas
Zavala,South Texas